,DRUG_ID,DRUG_NAME,DISEASES,PHASE
7284,D06KDP,Ganglioside gm1,Cerebrovascular ischaemia , Withdrawn from market
7285,D06KEJ,PV903,Infertility , Discontinued in Phase 1
7286,D06KFR,RP-73163,Arteriosclerosis , Terminated
7287,D06KGC,AEZS-120,Melanoma , Investigative
7288,D06KGI,TG-0054,Macular degeneration , Phase 2
7289,D06KGV,HUMAN CORTICOTROPIN-RELEASING HORMONE,leukaemia , Approved
7290,D06KIJ,AG-858,leukaemia , Phase 2
7291,D06KJG,CLX-0301,Diabetic complication , Terminated
7292,D06KJQ,BI 201335,Hepatitis C virus infection , Phase 3
7293,D06KKL,PulmoXen,Cystic fibrosis , Investigative
7294,D06KKO,PMID26815044-Compound-50,Albinism , Patented
7295,D06KKO,PMID26815044-Compound-50,Ephelides , Patented
7296,D06KKO,PMID26815044-Compound-50,Menkes disease , Patented
7297,D06KKO,PMID26815044-Compound-50,Senile lentigines , Patented
7298,D06KKO,PMID26815044-Compound-50,Melasma , Patented
7299,D06KKS,Cefradine,Bacterial infection , Approved
7300,D06KLJ,STAMP,Dental caries , Phase 3
7301,D06KNE,INCB15050,Human immunodeficiency virus infection , Phase 1
7302,D06KNJ,PB-127,Cardiovascular disease , Phase 3
7303,D06KNK,TDZD-8,Malignant glioma , Patented
7304,D06KOL,Napitane mesilate,Major depressive disorder , Discontinued in Phase 2
7305,D06KOM,DN24-02,Urogenital cancer , Phase 2
7306,D06KOM,DN24-02,Colorectal cancer , Phase 2
7307,D06KOR,SWT-05104,Vitiligo , Investigative
7308,D06KPR,CER-002,Dyslipidemia , Phase 1
7309,D06KPV,CreaVax-RCC,Renal cell carcinoma , Approved
7310,D06KPW,U-103017,Human immunodeficiency virus infection , Discontinued in Phase 1
7311,D06KQG,HER-2-targeting CAR T Cells,Breast cancer , Phase 1/2
7312,D06KQN,TPI-926,Neurological disorder , Phase 2
7313,D06KRZ,MC-4232,Hypertension , Discontinued in Phase 2
7314,D06KSA,TK-115339,Cardiovascular disease , Investigative
7315,D06KSV,Omigapil,Lateral sclerosis , Phase 2
7316,D06KSV,Omigapil,Muscular dystrophy , Phase 1
7317,D06KTF,HL-029,Hyperlipidaemia , Investigative
7318,D06KTJ,TAK-659,Diffuse large B-cell lymphoma , Phase 2
7319,D06KTJ,TAK-659,Haematological malignancy , Phase 1/2
7320,D06KUY,ACH-2684,Hepatitis C virus infection , Phase 1
7321,D06KVU,ABP 215,Non-small-cell lung cancer , Application submitted
7322,D06KWU,DWP-09031,Alzheimer disease , Phase 1
7323,D06KXS,PT-112,Solid tumour/cancer , Phase 1
7324,D06KYN,Arbutamine,Coronary artery disease , Approved
7325,D06KYU,Rycals,Heart failure , Preclinical
7326,D06KZL,AG140699,Melanoma , Phase 2
7327,D06LAN,BlockAide/CR,Human immunodeficiency virus infection , Terminated
7328,D06LAX,PGI-02749,Brain injury , Investigative
7329,D06LBO,Croconazole,Dermatological disease , Approved
7330,D06LBV,E-4767,Bacterial infection , Discontinued in Phase 1
7331,D06LBZ,MVA-BN JEV,Japanese encephalitis virus infection , Preclinical
7332,D06LCB,Thiazole carboxamide derivative 9,Solid tumour/cancer , Patented
7333,D06LCB,Thiazole carboxamide derivative 9,Metastatic cancer , Patented
7334,D06LCS,Legionella pneumophila vaccine,Legionella infection , Terminated
7335,D06LCW,KIN-4044,Non-small-cell lung cancer , Investigative
7336,D06LDC,Palonidipine hydrochloride,Hypertension , Discontinued in Preregistration
7337,D06LDT,Segesterone acetate; ethinyl estradiol,Contraception , Approved
7338,D06LEA,MER-102,Thrombosis , Phase 1
7339,D06LEC,LPD-608,Hypercholesterolaemia , Investigative
7340,D06LEG,Influenza A virus H5N1 vaccine,Influenza virus infection , Phase 3
7341,D06LEJ,Lu-AA44608,Mood disorder , Discontinued in Phase 1
7342,D06LFE,Indomethacin,Rheumatoid arthritis , Approved
7343,D06LFE,Indomethacin,Coronavirus Disease 2019 (COVID-19) , Phase 1/2
7344,D06LFV,NM-702,Angina pectoris , Phase 3
7345,D06LGC,ZD-2486,Angina pectoris , Discontinued in Phase 2
7346,D06LGZ,ET-007,Small-cell lung cancer , Investigative
7347,D06LHE,Inactivated H7N7 influenza vaccine,Influenza virus infection , Phase 1/2
7348,D06LHG,FENBUFEN,Arthritis , Approved
7349,D06LHI,GCH-01,Sepsis , Investigative
7350,D06LHK,2X-111,Brain metastases , Phase 1
7351,D06LHK,2X-111,Recurrent glioblastoma , Phase 1
7352,D06LHU,Iodamide,Contrast medium for intravenous urography , Approved
7353,D06LHU,Iodamide,Brain disease , Withdrawn from market
7354,D06LIQ,Cyclohexyl carbamate derivative 8,Albinism , Patented
7355,D06LIQ,Cyclohexyl carbamate derivative 8,Ephelides , Patented
7356,D06LIQ,Cyclohexyl carbamate derivative 8,Menkes disease , Patented
7357,D06LIQ,Cyclohexyl carbamate derivative 8,Senile lentigines , Patented
7358,D06LIQ,Cyclohexyl carbamate derivative 8,Melasma , Patented
7359,D06LJG,BURKE-104,Verruca vulgaris , Investigative
7360,D06LKA,L2-05,Mycobacterium infection , Investigative
7361,D06LKM,PNU-282987,Schizophrenia , Terminated
7362,D06LKP,OTI-050,Osteoarthritis , Investigative
7363,D06LLS,PMID25684022-Compound-WO2009153313,Solid tumour/cancer , Patented
7364,D06LLS,PMID25684022-Compound-WO2009153313,Metastatic cancer , Patented
7365,D06LMS,P-coumaric acid derivative 4,Albinism , Patented
7366,D06LMS,P-coumaric acid derivative 4,Ephelides , Patented
7367,D06LMS,P-coumaric acid derivative 4,Menkes disease , Patented
7368,D06LMS,P-coumaric acid derivative 4,Senile lentigines , Patented
7369,D06LMS,P-coumaric acid derivative 4,Melasma , Patented
7370,D06LNW,Fidaxomicin,Clostridium difficile associated diarrhea , Approved
7371,D06LOQ,ARZOXIFENE,Breast cancer , Approved
7372,D06LPT,STI-003,Autoimmune disease , Phase 2
7373,D06LQF,131-I-MIP-1095,Prostate cancer , Phase 1
7374,D06LQY,BI-1,Solid tumour/cancer , Phase 2
7375,D06LRG,TRV027,Heart failure , Phase 2
7376,D06LRQ,TKP-1001,Alzheimer disease , Investigative
7377,D06LSZ,PMID25684022-Compound-US20120277229 40(1.2),Solid tumour/cancer , Patented
7378,D06LSZ,PMID25684022-Compound-US20120277229 40(1.2),Metastatic cancer , Patented
7379,D06LUH,ABX-201,Thrombosis , Investigative
7380,D06LUI,Ad-IL-12 DNA therapeutic,Melanoma , Phase 1/2
7381,D06LUI,Ad-IL-12 DNA therapeutic,Recurrent glioblastoma , Phase 1
7382,D06LUZ,GS-5885,Hepatitis C virus infection , Phase 2
7383,D06LVJ,Mam-06.301,Allergy , Phase 2
7384,D06LXP,POL-7080,Bacterial infection , Phase 2
7385,D06LYG,Prilocaine,Pain , Approved
7386,D06LYI,BPX-501,Osteoporosis , Phase 1/2
7387,D06LYI,BPX-501,Immunodeficiency , Phase 1/2
7388,D06LYI,BPX-501,Hematopoietic stem cell transplantation , Phase 1/2
7389,D06LYI,BPX-501,Acute lymphoblastic leukaemia , Phase 1/2
7390,D06LYI,BPX-501,Acute myeloid leukaemia , Phase 1/2
7391,D06LYI,BPX-501,Solid tumour/cancer , Phase 1/2
7392,D06LYS,Prednimustine,Solid tumour/cancer , Approved
7393,D06LYZ,A-841720,Pain , Preclinical
7394,D06MAJ,Mizolastine,Allergic rhinitis , Approved
7395,D06MBR,ACI-636,Alzheimer disease , Investigative
7396,D06MCH,TG-6002,Solid tumour/cancer , Investigative
7397,D06MDT,INV-155,Cerebrovascular ischaemia , Investigative
7398,D06MEC,THA-901,Cancer related pain , Investigative
7399,D06MGW,OrniFlu,Influenza virus infection , Phase 2
7400,D06MHZ,NLG919,Solid tumour/cancer , Phase 1
7401,D06MIQ,MRE-0094,Diabetic foot ulcer , Phase 2
7402,D06MIU,Mycoprex,Fungal infection , Terminated
7403,D06MIW,Pyrazole derivative 37,Obesity , Patented
7404,D06MJP,TNFQb therapeutic vaccines,Crohn disease , Terminated
7405,D06MKG,MBP(75-95),Multiple sclerosis , Phase 1
7406,D06MLA,GET 73,Alcohol dependence , Phase 2
7407,D06MLZ,WAY-123223,Heart arrhythmia , Terminated
7408,D06MMU,LM-CD45,Transplant rejection , Phase 1
7409,D06MMW,ADCON-T/N,Wound healing , Approved
7410,D06MNC,PRS-050,Solid tumour/cancer , Phase 1
7411,D06MNF,Pardoprunox,Parkinson disease , Phase 2
7412,D06MOB,WSB-102,Autoimmune diabetes , Investigative
7413,D06MOY,DM-99,Alzheimer disease , Phase 2
7414,D06MPF,Sch-40120,Pruritus , Terminated
7415,D06MPH,Pyrazole derivative 28,Obesity , Patented
7416,D06MPJ,BD-NP,Hypertension , Investigative
7417,D06MQM,Lumefantrine,Malaria , Approved
7418,D06MQW,GP-1002,Influenza virus infection , Investigative
7419,D06MRR,WilGraf,Autoimmune diabetes , Investigative
7420,D06MRS,NSD-761,Cognitive impairment , Investigative
7421,D06MRT,Acitazanolast,Allergy , Approved
7422,D06MRY,Enteric-coated mycophenolate sodium,Transplant rejection , Approved
7423,D06MTH,KIN-4050,Psoriasis vulgaris , Investigative
7424,D06MTM,S-16276-1,Rheumatoid arthritis , Terminated
7425,D06MUB,SMOi2-17,Solid tumour/cancer , Investigative
7426,D06MUI,A-81988,Hypertension , Terminated
7427,D06MUZ,SDZ-87-469,Coronary artery disease , Terminated
7428,D06MWK,Aimpila,Colorectal cancer , Phase 1
7429,D06MWU,LUF-5833,Ischemia , Investigative
7430,D06MXB,IB-09C190,Angiogenesis disorder , Investigative
7431,D06MXY,BL-1827,Cancer related pain , Discontinued in Phase 1
7432,D06MYP,SK-MS10,Gastritis , Phase 2
7433,D06NAG,Anti-CD137,Solid tumour/cancer , Phase 2
7434,D06NBK,Sodium Iodide I-131 Capsules,Thyroid disease , Approved
7435,D06NDP,CIGB-128,Basal cell carcinoma , Phase 1
7436,D06NEU,CJ-23423,Arthralgia , Discontinued in Phase 2
7437,D06NHK,Sitagliptin + atorvastatin,Cardiovascular disease , Discontinued in Phase 3
7438,D06NIT,PF-4181366,Cognitive impairment , Investigative
7439,D06NJB,AM-802,Lung inflammation , Investigative
7440,D06NKA,IRC-083927,Solid tumour/cancer , Investigative
7441,D06NLP,WTC-01,Solid tumour/cancer , Investigative
7442,D06NMP,CGP-29030A,Pain , Investigative
7443,D06NMY,MDC-1231,Colon cancer , Investigative
7444,D06NMZ,NVP-ADW742,Multiple myeloma , Investigative
7445,D06NND,FPA144,Bladder cancer , Phase 1
7446,D06NND,FPA144,Gastric adenocarcinoma , Phase 1
7447,D06NNQ,VRC-HIVADV014-00-VP,Human immunodeficiency virus infection , Phase 2
7448,D06NNU,NSC-631570,Solid tumour/cancer , Approved
7449,D06NOF,ATI-9242,Schizophrenia , Phase 1
7450,D06NOR,IVL745,Asthma , Discontinued in Phase 2
7451,D06NOU,D-9120,Inflammatory bowel disease , Terminated
7452,D06NPB,GLPG-0259,Rheumatoid arthritis , Discontinued in Phase 2
7453,D06NQA,Plasmid IL-12 immunotherapy,Cutaneous T-cell lymphoma , Phase 1
7454,D06NQH,RG7155,Solid tumour/cancer , Phase 2
7455,D06NQJ,Triproamylin acetate,Diabetic complication , Approved
7456,D06NSA,Thiamylal,Anaesthesia , Approved
7457,D06NSL,PIC-060,Dermatitis , Terminated
7458,D06NSS,Cromoglicate,Asthma , Approved
7459,D06NSS,Cromoglicate,Allergic rhinitis , Terminated
7460,D06NVJ,Nicotinamide,Inflammatory skin condition , Approved
7461,D06NVN,BMS-599793,Human immunodeficiency virus-1 infection , Investigative
7462,D06NXG,PF-04236921,Systemic lupus erythematosus , Phase 2
7463,D06NXG,PF-04236921,Crohn disease , Phase 2
7464,D06NXY,Ethinyl Estradiol,Female hypogonadism , Approved
7465,D06NYA,2-Methoxyestradiol,Pulmonary arterial hypertension , Phase 2
7466,D06OAV,Aminohippurate sodium,Kidney disease , Approved
7467,D06ODM,Talsaclidine fumarate,Alzheimer disease , Discontinued in Phase 2
7468,D06OES,CART-38 cells,Myelodysplastic syndrome , Phase 1
7469,D06OES,CART-38 cells,Acute myeloid leukaemia , Phase 1
7470,D06OFD,BAY-85-8102,Brain disease , Phase 1
7471,D06OFJ,NPI-3304,Gram-positive bacterial infection , Investigative
7472,D06OFS,Rilmenidine,Hypertension , Approved
7473,D06OFZ,LEISH-F1,Leishmania infection , Phase 2
7474,D06OIG,Hib-MenCY-TT vaccine,Meningitis , Phase 3
7475,D06OIV,Tolbutamide,Non-insulin dependent diabetes , Approved
7476,D06OMH,Safflower seed-derived apolipoprotein A1,Cardiovascular disease , Investigative
7477,D06OMK,Tacrolimus,Organ transplant rejection , Approved
7478,D06OMK,Tacrolimus,Ocular allergy , Phase 3
7479,D06OMW,Rasagiline,Parkinson disease , Approved
7480,D06OMW,Rasagiline,Skin cancer , Patented
7481,D06OMW,Rasagiline,Skin imperfections , Patented
7482,D06ONB,AZ505,Solid tumour/cancer , Preclinical
7483,D06OQI,Tilarginine acetate,Myocardial infarction , Phase 3
7484,D06OQI,Tilarginine acetate,Angina pectoris , Discontinued in Phase 2
7485,D06ORI,Ketamine,Anaesthesia , Approved
7486,D06ORI,Ketamine,Coronavirus Disease 2019 (COVID-19) , Phase 2
7487,D06ORU,Butacaine,Pain , Approved
7488,D06OSM,Tandospirone,Anxiety disorder , Approved
7489,D06OUL,Ceforanide,Bacterial infection , Approved
7490,D06OUT,ANG-4011,Fibrosis , Investigative
7491,D06OUW,PBI-220,Bacillus anthracis infection , Investigative
7492,D06OVF,Santalum,Atopic dermatitis , Phase 2
7493,D06OVF,Santalum,Human papillomavirus infection , Phase 2
7494,D06OVF,Santalum,Psoriasis vulgaris , Phase 2
7495,D06OVM,KM-3413,Solid tumour/cancer , Investigative
7496,D06OVY,Cefixime,Bacterial infection , Approved
7497,D06OWF,TBI-301,Hepatitis C virus infection , Investigative
7498,D06OZJ,RWJ-67657,Arthritis , Phase 1
7499,D06OZW,Artemisone,Malaria , Phase 2/3
7500,D06PAW,Z-4105,Alzheimer disease , Terminated
7501,D06PAZ,Encainide,Heart arrhythmia , Withdrawn from market
7502,D06PBH,NN8640,Growth failure , Phase 3
7503,D06PDQ,AOP-200704,Heart arrhythmia , Phase 2
7504,D06PDT,TARP peptide-pulsed autologous dendritic cell vaccine,Prostate cancer , Phase 1
7505,D06PEB,Cinalukast,Asthma , Approved
7506,D06PEW,IT-101,Solid tumour/cancer , Phase 3
7507,D06PFK,TDT-044,Dermatological disease , Investigative
7508,D06PFT,Rhumab Beta7,Ulcerative colitis , Phase 3
7509,D06PGZ,Setrobuvir,Hepatitis C virus infection , Phase 2
7510,D06PHH,Rimacalib,Rheumatoid arthritis , Phase 2
7511,D06PHO,E-3030,Hyperlipidaemia , Discontinued in Phase 1
7512,D06PHS,EVT302,Alzheimer disease , Phase 2
7513,D06PJK,Euro-Celtique 3,Pain , Investigative
7514,D06PKL,BPL-003,Pain , Investigative
7515,D06PKS,ONO-4007,Immune System disease , Discontinued in Phase 2
7516,D06PLP,Resten-MP,Coronary artery disease , Phase 2
7517,D06PNN,Biaryl mannoside derivative 26,Crohn disease , Patented
7518,D06PNN,Biaryl mannoside derivative 26,Ulcerative colitis , Patented
7519,D06PNN,Biaryl mannoside derivative 26,Urinary tract infection , Patented
7520,D06PPL,BIX-01294,Breast cancer , Preclinical
7521,D06PQR,OPC-8490,Cardiovascular disease , Discontinued in Phase 2
7522,D06PQT,Vitamin B1,Vitamin B1 deficiency , Approved
7523,D06PSS,Nateglinide,Diabetic complication , Approved
7524,D06PSU,BAY1143572,Solid tumour/cancer , Phase 1
7525,D06PTA,Levosalbutamol/ipratropium,Chronic obstructive pulmonary disease , Phase 4
7526,D06PTG,ARX788,Breast cancer , Phase 1
7527,D06PTG,ARX788,HER2-positive breast cancer , Phase 1
7528,D06PTT,MS-424,Ischemia , Discontinued in Phase 2
7529,D06PTW,Thiazole carboxamide derivative 12,Solid tumour/cancer , Patented
7530,D06PTW,Thiazole carboxamide derivative 12,Metastatic cancer , Patented
7531,D06PVA,Volociximab,Non-small-cell lung cancer , Phase 2
7532,D06PVN,R-65,Glaucoma/ocular hypertension , Investigative
7533,D06PXT,CF602,Inflammation , Preclinical
7534,D06PYP,JTS-653,Pain , Discontinued in Phase 2
7535,D06PYP,JTS-653,Overactive bladder , Discontinued in Phase 2
7536,D06PZC,SAM-6,Melanoma , Phase 1
7537,D06PZO,ASC-101,Haematological malignancy , Phase 1/2
7538,D06QAJ,PS948115,Respiratory failure , Discontinued in Phase 1
7539,D06QAK,BMN-111,Achondroplasia , Phase 3
7540,D06QBV,BI 894999,Solid tumour/cancer , Phase 1
7541,D06QBX,VDA-1102,Actinic keratosis , Phase 2
7542,D06QBY,INT131,Type-2 diabetes , Phase 2
7543,D06QCC,Cefmenoxime,Bacterial infection , Approved
7544,D06QCE,MTKi-328,Solid tumour/cancer , Investigative
7545,D06QDR,Choline alfoscerate,Amnesia , Approved
7546,D06QEL,FARANOXI,Solid tumour/cancer , Phase 2
7547,D06QEW,CLT-003,Diabetic macular edema , Investigative
7548,D06QGH,Dukoral,Escherichia coli infection , Approved
7549,D06QHT,Risotilide,Heart arrhythmia , Discontinued in Phase 2
7550,D06QIP,AP-022,Glaucoma/ocular hypertension , Investigative
7551,D06QIW,EPO peptide mimetics,Anemia , Investigative
7552,D06QJE,F-992,Urinary incontinence , Terminated
7553,D06QJG,PG-1014491,Bone disease , Investigative
7554,D06QKV,Brodimoprim,Bacterial infection , Approved
7555,D06QMA,MK-5286,Inflammation , Investigative
7556,D06QMV,DWP-450,Glabellar frown line , Application submitted
7557,D06QOA,PSI-938,Hepatitis C virus infection , Phase 1
7558,D06QOC,GX-301,Prostate cancer , Phase 1/2
7559,D06QOD,CT-120,Influenza virus infection , Investigative
7560,D06QOF,R7128,Hepatitis C virus infection , Discontinued in Phase 2
7561,D06QOJ,RS-8359,Major depressive disorder , Discontinued in Phase 2
7562,D06QOK,DW-2282,Solid tumour/cancer , Terminated
7563,D06QOM,TP-101,Bacterial infection , Investigative
7564,D06QPI,NY-ESO-1 tumour vaccine,Lung cancer , Discontinued in Phase 1
7565,D06QQH,T-1210,Allergic conjunctivitis , Phase 2
7566,D06QRW,Lazabemide,Skin imperfections , Patented
7567,D06QRW,Lazabemide,Cognitive impairment , Discontinued in Phase 3
7568,D06QRY,IDN-5390,Solid tumour/cancer , Investigative
7569,D06QSN,Itolizumab,Type-1 diabetes , Phase 3
7570,D06QUY,CO-18,Obesity , Investigative
7571,D06QWM,OI338GT,Type-1/2 diabetes , Phase 2
7572,D06QWM,OI338GT,Type-1 diabetes , Phase 2
7573,D06QWM,OI338GT,Type-2 diabetes , Phase 2
7574,D06QXI,NRX-4204,Diabetic complication , Phase 2
7575,D06QYJ,Anticancer glycosaminoglycans,Solid tumour/cancer , Terminated
7576,D06QYR,PF-4800567,Chronic lymphocytic leukaemia , Preclinical
7577,D06QZL,Lerisetron,Vomiting , Phase 3
7578,D06QZL,Lerisetron,Testicular germ cell tumour , Phase 3
7579,D06QZL,Lerisetron,Nausea , Phase 3
7580,D06RBJ,DIPROTEVERINE HYDROCHLORIDE,Angina pectoris , Phase 3
7581,D06RCB,Diethylcarbamazine,Lymphatic filariasis , Approved
7582,D06RCE,HER2-specific T cells,Recurrent glioblastoma , Phase 1
7583,D06RCS,Besonprodil,Parkinson disease , Discontinued in Phase 1
7584,D06REJ,MX-7065,Solid tumour/cancer , Terminated
7585,D06REO,Befunolol hci,Glaucoma/ocular hypertension , Approved
7586,D06RFG,Estradiol valerate/dienogest,Discovery agent , Approved
7587,D06RGG,Levothyroxine,Hypothyroidism , Approved
7588,D06RGW,PMID25684022-Compound-WO2004087707,Solid tumour/cancer , Patented
7589,D06RGW,PMID25684022-Compound-WO2004087707,Metastatic cancer , Patented
7590,D06RHC,DS-1040,Ischemic stroke , Phase 1
7591,D06RIM,LIM-0705,Insulin-resistant disorder , Phase 2
7592,D06RNK,Hi8 HBV vaccine,Hepatitis virus infection , Phase 2
7593,D06RQD,Anti-GD2 mab,Solid tumour/cancer , Investigative
7594,D06RQU,HC-Toxin,Solid tumour/cancer , Preclinical
7595,D06RRD,Fibrates,Dyslipidemia , Investigative
7596,D06RSE,V935,Solid tumour/cancer , Phase 1
7597,D06RUD,FT-011,Fibrosis , Investigative
7598,D06RUK,Combotox,leukaemia , Phase 1
7599,D06RUL,Bitolterol,Chronic obstructive pulmonary disease , Approved
7600,D06RUL,Bitolterol,Asthma , Withdrawn from market
7601,D06RVQ,Xenon,Brain injury , Phase 3
7602,D06RVY,SIR-1076,Retinopathy , Preclinical
7603,D06RWM,Carmeseal,Duchenne dystrophy , Phase 1
7604,D06RWM,Carmeseal,Fibrosis , Investigative
7605,D06RYG,PRAME-SLP,Melanoma , Investigative
7606,D06RYU,RLP-035,Escherichia coli infection , Investigative
7607,D06RYY,ZD-9379,Cerebrovascular ischaemia , Phase 1
7608,D06RZQ,HG-1091,Immune System disease , Investigative
7609,D06SAT,HZ-166,Neuropathic pain , Investigative
7610,D06SBB,Basiliximab,Organ transplant rejection , Approved
7611,D06SBD,DS-2248,Solid tumour/cancer , Phase 1
7612,D06SBK,Atocalcitol,Psoriasis vulgaris , Discontinued in Phase 2
7613,D06SBL,MM-121,Breast cancer , Phase 2
7614,D06SBL,MM-121,Non-small-cell lung cancer , Phase 2
7615,D06SBS,SSR-504734,Schizophrenia , Preclinical
7616,D06SCK,MB-311,Solid tumour/cancer , Phase 1
7617,D06SCP,VISION 5,Glaucoma/ocular hypertension , Phase 2
7618,D06SCQ,QBM076,Chronic obstructive pulmonary disease , Phase 2
7619,D06SCY,BM-32,Allergic rhinitis , Phase 2
7620,D06SDP,Melanotetan II,Type-2 diabetes , Preclinical
7621,D06SDP,Melanotetan II,Obesity , Preclinical
7622,D06SDP,Melanotetan II,Sexual dysfunction , Preclinical
7623,D06SDQ,UCB0599,Parkinson disease , Phase 1
7624,D06SEA,CX-7000,Solid tumour/cancer , Investigative
7625,D06SEL,NNRTIs,Human immunodeficiency virus infection , Investigative
7626,D06SEY,Etilevodopa,Parkinson disease , Discontinued in Phase 3
7627,D06SFX,Soybean Oil,Bupicavaine toxicity , Approved
7628,D06SHZ,SHP616,Neuromyelitis optica , Phase 1
7629,D06SIG,AR177,Human immunodeficiency virus infection , Terminated
7630,D06SJO,GSK-2282512A,Influenza virus infection , Phase 3
7631,D06SJZ,XB-947,Solid tumour/cancer , Phase 1
7632,D06SMP,SMT-15000,Infectious disease , Investigative
7633,D06SMU,SMT-D003,Glaucoma/ocular hypertension , Investigative
7634,D06SNS,Mirostipen,Breast cancer , Discontinued in Phase 2
7635,D06SNV,MORAb-28,Solid tumour/cancer , Phase 1
7636,D06SRB,Brain-derived neurotrophic factor peptidomimetics,Rett syndrome , Investigative
7637,D06SRX,MDA-19,Neuropathic pain , Investigative
7638,D06SSR,AVP-26452,Hyperlipidaemia , Discontinued in Phase 1
7639,D06STK,Purine derivative 2,Obesity , Patented
7640,D06STX,Thiadiazolyl carboxamide derivative 1,Alzheimer disease , Patented
7641,D06SUS,AZD-3043,Anaesthesia , Phase 1
7642,D06SVC,M-0011,Alpha-mannosidosis , Phase 3
7643,D06SVW,Insulin recombinant,Diabetic complication , Approved
7644,D06SWS,NN-1952,Insulin-dependent diabetes , Phase 1
7645,D06SWT,Aryl mannoside derivative 5,Crohn disease , Patented
7646,D06SWT,Aryl mannoside derivative 5,Ulcerative colitis , Patented
7647,D06SWT,Aryl mannoside derivative 5,Urinary tract infection , Patented
7648,D06SYA,MT-061,Gram-positive bacterial infection , Investigative
7649,D06SYN,Ioflubenzamide (131I),Melanoma , Phase 1
7650,D06SZU,WVE-210201,Duchenne dystrophy , Phase 2/3
7651,D06TAL,Tazofelone,Inflammatory bowel disease , Discontinued in Phase 2
7652,D06TAR,DM-512,Psoriasis vulgaris , Investigative
7653,D06TEO,UCL-1390,Pain , Terminated
7654,D06TEO,UCL-1390,Epilepsy , Terminated
7655,D06TEO,UCL-1390,Eating disorder , Terminated
7656,D06TFE,Technetium Tc-99m Depreotide,Radioactive tracer , Approved
7657,D06TFI,LY2157299,Arteriosclerosis , Phase 2/3
7658,D06TFI,LY2157299,Non-small-cell lung cancer , Phase 2/3
7659,D06TFI,LY2157299,Hepatocellular carcinoma , Phase 2
7660,D06TFI,LY2157299,Glioma , Phase 1/2
7661,D06TFI,LY2157299,Solid tumour/cancer , Phase 1/2
7662,D06TFI,LY2157299,Pancreatic cancer , Phase 1
7663,D06TGE,Taranabant,Obesity , Discontinued in Phase 3
7664,D06TGS,Cx-603,Ischemic stroke , Preclinical
7665,D06THG,DS-1205,Non-small-cell lung cancer , Phase 1
7666,D06THT,INGN-402,Solid tumour/cancer , Terminated
7667,D06TJJ,FLUORESCEIN,Ocular disease , Approved
7668,D06TJQ,CRLX301,Solid tumour/cancer , Phase 1/2
7669,D06TKE,ZD-7288,Angina pectoris , Phase 2
7670,D06TKI,CHR-3996,Lymphoma , Phase 1/2
7671,D06TKI,CHR-3996,Solid tumour/cancer , Phase 1
7672,D06TKR,CART 19,Acute lymphoblastic leukaemia , Phase 2
7673,D06TKR,CART 19,Pancreatic cancer , Preclinical
7674,D06TLK,EPB-600,Hepatitis C virus infection , Investigative
7675,D06TME,MEDI-546,Ovarian cancer , Phase 2
7676,D06TMH,HG-1164,Solid tumour/cancer , Investigative
7677,D06TNG,Polythiazide,Edema , Approved
7678,D06TNG,Polythiazide,Hypertension , Approved
7679,D06TNL,Ethacrynic acid,High blood pressure , Approved
7680,D06TNO,CD19 CAR T-cells,Non-hodgkin lymphoma , Phase 1
7681,D06TOE,Micafungin,Candidiasis , Approved
7682,D06TQD,CMPD-167,Human immunodeficiency virus-1 infection , Investigative
7683,D06TQR,PF-06372865,Chronic pain , Phase 2
7684,D06TQZ,Meticillin,Bacterial infection , Approved
7685,D06TQZ,Meticillin,Neurological disorder , Investigative
7686,D06TTS,LZ-8,Autoimmune diabetes , Terminated
7687,D06TTT,Recombinant Tat protein vaccine,Human immunodeficiency virus infection , Phase 1
7688,D06TVC,Tienoxolol,Hypertension , Discontinued in Phase 2
7689,D06TVG,Inaperisone,Pollakiuria , Discontinued in Preregistration
7690,D06TVU,Q-101,Human immunodeficiency virus infection , Investigative
7691,D06TWA,TB-403,Glioblastoma of brain , Phase 2
7692,D06TWE,CLX-0921,Type-2 diabetes , Phase 1
7693,D06TWS,CAR-T cells targeting CD2,Cervical cancer , Phase 1/2
7694,D06TZT,RIPISARTAN,Hypertension , Discontinued in Phase 2
7695,D06TZZ,CAT 1004,Duchenne dystrophy , Phase 2
7696,D06TZZ,CAT 1004,Type-2 diabetes , Phase 1
7697,D06UAD,HR2P peptide,Middle East Respiratory Syndrome (MERS) , Preclinical
7698,D06UBF,V180,Dengue fever , Phase 1
7699,D06UCV,Z-335,Thrombosis , Discontinued in Phase 2
7700,D06UDG,Valsartan,Hypertension , Approved
7701,D06UDO,Phenindamine,Common cold , Approved
7702,D06UDV,AZD2516,Chronic neuropathic pain , Discontinued in Phase 2
7703,D06UEC,ADXS-HER2,Solid tumour/cancer , Phase 2
7704,D06UEC,ADXS-HER2,Breast cancer , Phase 1/2
7705,D06UEP,GKT-136901,Cardiovascular disease , Investigative
7706,D06UFH,CZ-112,Solid tumour/cancer , Terminated
7707,D06UIS,LY-2828360,Pain , Phase 2
7708,D06UJD,H-102,Hepatocellular carcinoma , Investigative
7709,D06UJO,Rhenex,Solid tumour/cancer , Discontinued in Phase 1
7710,D06UKG,LY-377604,Obesity , Phase 2
7711,D06ULU,Sucralfate,Acne vulgaris , Approved
7712,D06UND,FP-85A,Mycobacterium infection , Phase 1
7713,D06UNI,RBx-10017609,Respiratory disease , Phase 2
